STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,SERIES,SDG Series,REF_AREA,Area,SEX,Sex,AGE,Age,ACTIVITY,Economic activity,PRODUCT,Products,BIOCLIMATIC_BELT,Bioclimatic Belt,UNIT_MEASURE,Unit measure,URBANISATION,Urbanisation,LAND_COVER,Land Cover,PRICE_SEVERITY_LEVEL,Severity of price level,TIME_PERIOD,Time Period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,BASE_PER,Base period,NATURE,Nature of data points,TIME_DETAIL,Time detail,COMMENT_OBS,Comment,UPPER_BOUND,Upper bound,LOWER_BOUND,Lower bound,SOURCE_DETAIL,Source,INDICATOR,Indicator,REF_AREA_ISO2,ISO2,REF_AREA_ISO3,ISO3,REF_AREA_TYPE,Reference area type,REF_PERIOD,Reference Period
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],199,Least Developed Countries (LDCs),_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,102.62,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.3,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],199,Least Developed Countries (LDCs),_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,99.9,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.3,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],151,Eastern Europe,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,101.92,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],151,Eastern Europe,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,98.16,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],143,Central Asia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,102.35,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],143,Central Asia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,97.72,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],061,Polynesia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,109.63,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],061,Polynesia,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,105.14,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],150,Europe,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,,,0,Units,O,Missing value,,,_X,Not Available,2020,,NaN = A figure was not provided,,,,,,NA,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],150,Europe,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,,,0,Units,O,Missing value,,,_X,Not Available,2021,,NaN = A figure was not provided,,,,,,NA,,12.3.1a,,,,,,2.1,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],011,Western Africa,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,103.17,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],011,Western Africa,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,99.69,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],005,South America,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2020,,98.79,,0,Units,A,Official value,,,N,Non-relevant,2020,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
DATAFLOW,FAO:DF_SDG_12_3_1(1.0),Indicator 12.3.1 - Global Food Loss and Waste,I,A,Annual,AG_FLS_INDEX,Global food loss index [12.3.1],005,South America,_T,Both sexes or no breakdown by sex,_T,All age ranges or no breakdown by age,_T,No breakdown,_T,All products,_T,Total,IX,Index,_T,Total,_T,No breakdown,_T,No breakdown,2021,,104.29,,0,Units,A,Official value,,,N,Non-relevant,2021,,,,,,,,FAO,,12.3.1a,,,,,,2.4,,,
